Compound	CAS	T_half_air_days	Canonical_smiles
toxaphene	1852481-29-8|8001-35-2	7.08333333333333	C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl
benomyl	17804-35-2	0.208333333333333	CCCCN=C(O)n1c(N=C(O)OC)nc2ccccc21
2,3,4-trichlorobiphenyl	nan	22.9166666666667	Clc1ccc(-c2ccccc2)c(Cl)c1Cl
2,3,3',4',5'-pentachlorobiphenyl	nan	70.8333333333333	Clc1cc(-c2cccc(Cl)c2Cl)cc(Cl)c1Cl
2,2' dichloro 4 methylbiphenyl	nan	7.08333333333333	Cc1ccc(-c2ccccc2Cl)c(Cl)c1
3,3',4,4',5,5'-hexachlorobiphenyl	nan	229.166666666667	Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl
2,2',3,3',4,5,6-heptachlorobiphenyl	nan	229.166666666667	Clc1cccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl
1,2,3,4-tetrachlorodibenzo-p-dioxin	30746-58-8	7.08333333333333	Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2
isopropalin	33820-53-0	0.708333333333333	CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-]
2,7-dichlorodibenzo-p-dioxin	33857-26-0	7.08333333333333	Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2
1,2,3,4,6,7,8-heptchlorodibenzo-p-dioxin	nan	22.9166666666667	Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
2,8-dichlorodibenzo-p-dioxin	38964-22-6	7.08333333333333	Clc1ccc2c(c1)Oc1cc(Cl)ccc1O2
octachlorodibenzofuran	39001-02-0	22.9166666666667	Clc1c(Cl)c(Cl)c2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c1Cl
2,7-dichlorodibenzo-p-dioxin	33857-26-0	7.08333333333333	Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2
1,2,4-trichlorodibenzo-p-dioxin	39227-58-2	7.08333333333333	Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2
1,2,3,4,7-pentachlorodibenzo-p-dioxin	39227-61-7	22.9166666666667	Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
2,3,7,8-TCDF	51207-31-9	7.08333333333333	Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl
metolachlor	51218-45-2|82535-90-8	7.08333333333333	CCc1cccc(C)c1N(C(=O)CCl)C(C)COC
2,2',3,3',4,5,5',6,6'-nonachlorobiphenyl	nan	708.333333333333	Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl
PCB 28*	nan	10.625	
PCB 101*	nan	36.875	
PCB 180*	nan	110.625	
? HCH*	nan	120.0	
p-cresol*	nan	0.25	
Hypo-A*	nan	7.0	
Hypo-B*	nan	365.0	
Hypo-C*	nan	0.17	
Mirex	143-50-0|2385-85-5	7.08333333333333	ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
2,4-dichlorophenoxybutyricacid	94-82-6	2.29166666666667	O=C(O)CCCOc1ccc(Cl)cc1Cl
dimethylphthalate (dmp)	nan	7.08333333333333	
mecoprop	7085-19-0|93-65-2	0.708333333333333	Cc1cc(Cl)ccc1OC(C)C(=O)O
benzene, 1,2,4,5-tetramethyl-	15220-27-6|95-93-2	0.708333333333333	Cc1cc(C)c(C)cc1C
iso-propyl-4-methyl-benzene	nan	0.708333333333333	Cc1ccc(C(C)C)cc1
parathion	56-38-2	0.708333333333333	CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
triallate	2303-17-5	7.08333333333333	CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C
diallate	17708-57-5|2303-16-4	0.708333333333333	CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C
malathion	121-75-5	0.708333333333333	CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
decane	116372-01-1|124-18-5|63335-87-5	0.708333333333333	CCCCCCCCCC
Heptachlor	76-44-8	2.29166666666667	ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
chlordane	12789-03-6|33442-85-2|5103-71-9|5103-74-2	2.29166666666667	ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
naphthalene	31807-65-5|91-20-3	0.708333333333333	c1ccc2ccccc2c1
toxaphene	1852481-29-8|8001-35-2	7.08333333333333	C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl
2-naphthalenamine	612-52-2|91-59-8	0.208333333333333	Nc1ccc2ccccc2c1
1-naphthalenamine	134-32-7|25168-10-9	0.208333333333333	Nc1cccc2ccccc12
naphthalene, 1-methyl-	1321-94-4|90-12-0	0.708333333333333	Cc1cccc2ccccc12
propoxur	114-26-1	0.208333333333333	CN=C(O)Oc1ccccc1OC(C)C
octachlorodibenzofuran	39001-02-0	22.9166666666667	Clc1c(Cl)c(Cl)c2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c1Cl
octachlorodibenzo-p-dioxin	3268-87-9	22.9166666666667	Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
Acenapthene	83-32-9	2.29166666666667	c1cc2c3c(cccc3c1)CC2
