Compound	CAS	T_half_sediment_days	Canonical_smiles	Corrected_names	n_sources
2-propenoic acid	55927-87-2|79-10-7|9063-87-0	22.9166666666667	C=CC(=O)O		1
acetic acid, chloro-	79-11-8	70.8333333333333	O=C(O)CCl		1
acetic acid, methyl ester	79-20-9	22.9166666666667	COC(C)=O		1
ethane, 1,1,2,2-tetrachloro-	79-34-5	708.333333333333	ClC(Cl)C(Cl)Cl		1
2-propenoic acid, 2-methyl-, methyl ester	114512-63-9|143476-91-9|51391-19-6|80-62-6|9065-11-6|97555-82-3	22.9166666666667	C=C(C)C(=O)OC		1
1,2-benzenedicarboxylic acid, diethyl ester	84-66-2	70.8333333333333	CCOC(=O)c1ccccc1C(=O)OCC		1
1,2-benzenedicarboxylic acid, dibutyl ester	84-74-2	70.8333333333333	CCCCOC(=O)c1ccccc1C(=O)OCCCC		1
phenanthrene	85-01-8	708.333333333333	c1ccc2c(c1)ccc1ccccc12		1
1,2-benzenedicarboxylic acid, butyl phenylmethyl ester	85-68-7	70.8333333333333	CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1		1
benzenamine, n-nitroso-n-phenyl-	382165-80-2|86-30-6	229.166666666667	O=NN(c1ccccc1)c1ccccc1		1
9h-fluorene	86-73-7	708.333333333333	c1ccc2c(c1)Cc1ccccc1-2		1
benzenamine, 2,6-dimethyl-	87-62-7	70.8333333333333	Cc1cccc(C)c1N		1
phenol, 2,4,6-trichloro-	88-06-2	229.166666666667	Oc1c(Cl)cc(Cl)cc1Cl		1
benzene, 1-methyl-2-nitro-	1321-12-6|88-72-2	229.166666666667	Cc1ccccc1[N+](=O)[O-]		1
phenol, 2-nitro-	25154-55-6|78813-12-4|88-75-5	70.8333333333333	O=[N+]([O-])c1ccccc1O		1
1,2-benzenedicarboxylic acid	254110-94-6|57142-78-6|88-99-3	22.9166666666667	O=C(O)c1ccccc1C(=O)O		1
phenol, 2-methoxy-	90-05-1|9009-62-5	22.9166666666667	COc1ccccc1O		1
naphthalene, 1-methyl-	1321-94-4|90-12-0	229.166666666667	Cc1cccc2ccccc12		1
naphthalene	31807-65-5|91-20-3	229.166666666667	c1ccc2ccccc2c1		1
quinoline	15793-82-5|15793-83-6|15793-84-7|15793-85-8|15793-86-9|15793-87-0|31177-31-8|54978-41-5|91-22-5	70.8333333333333	c1ccc2ncccc2c1		1
2-naphthalenamine	612-52-2|91-59-8	70.8333333333333	Nc1ccc2ccccc2c1		1
1,1'-biphenyl		70.8333333333333	c1ccc(-c2ccccc2)cc1		1
1,1'-biphenyl -4,4'-diamine		22.9166666666667	Nc1ccc(-c2ccc(N)cc2)cc1		1
acetic acid, (2,4-dichlorophenoxy)-	64296-19-1|94-75-7	70.8333333333333	O=C(O)COc1ccc(Cl)cc1Cl		1
2,4-dichlorophenoxybutyric acid	94-82-6	22.9166666666667	O=C(O)CCCOc1ccc(Cl)cc1Cl		1
benzo b thiophene		229.166666666667	c1ccc2sccc2c1	benzothiophene	1
benzene, 1,2-dimethyl-	95-47-6	229.166666666667	Cc1ccccc1C		1
phenol, 2-methyl-	95-48-7	7.08333333333333	Cc1ccccc1O		1
benzene, 1,2-dichloro-	95-50-1	708.333333333333	Clc1ccccc1Cl		1
benzenamine, 2-chloro-	27134-26-5|95-51-2	70.8333333333333	Nc1ccccc1Cl		1
benzenamine, 2-methyl-	121536-13-8|68408-22-0|95-53-4	7.08333333333333	Cc1ccccc1N		1
benzene, 1,2,4-trimethyl-	95-36-3|95-63-6	229.166666666667	Cc1ccc(C)c(C)c1		1
benzene, 1,2,4,5-tetramethyl-	15220-27-6|95-93-2	229.166666666667	Cc1cc(C)c(C)cc1C		1
benzene, 1,2,4,5-tetrachloro-	12408-10-5|63697-22-3|95-94-3	708.333333333333	Clc1cc(Cl)c(Cl)cc1Cl		1
phenol, 2,4,5-trichloro-	95-95-4	22.9166666666667	Oc1cc(Cl)c(Cl)cc1Cl		1
oxirane, phenyl-	192506-02-8|25189-69-9|96-09-3	70.8333333333333	c1ccc(C2CO2)cc1		1
propane, 1,2,3-trichloro-	96-18-4	708.333333333333	ClCC(Cl)CCl		1
3-pentanone	96-22-0	22.9166666666667	CCC(=O)CC		1
benzene, (1-methylethyl)-	101316-43-2|98-82-8	229.166666666667	CC(C)c1ccccc1		1
ethanone, 1-phenyl-	98-86-2	22.9166666666667	CC(=O)c1ccccc1		1
benzene, nitro-	98-95-3	229.166666666667	O=[N+]([O-])c1ccccc1		1
benzene, 1-methyl-4-nitro-	99-99-0	229.166666666667	Cc1ccc([N+](=O)[O-])cc1		1
phenol, 4-nitro-	100-02-7	70.8333333333333	O=[N+]([O-])c1ccc(O)cc1		1
benzene, ethyl-	100-41-4|20302-26-5	229.166666666667	CCc1ccccc1		1
benzene, ethenyl-	100-42-5|12770-88-6|25086-18-4|6911-81-5|98444-30-5	70.8333333333333	C=Cc1ccccc1		1
benzenemethanol	100-51-6|185532-71-2|66072-40-0	7.08333333333333	OCc1ccccc1		1
benzene, methoxy-	100-66-3	70.8333333333333	COc1ccccc1		1
benzene, 1,1'-oxybis-	101-84-8|32576-61-7	70.8333333333333	c1ccc(Oc2ccccc2)cc1		1
benzene, propyl-	103-65-1	229.166666666667	CCCc1ccccc1		1
benzeneacetic acid	103-82-2|17303-65-0|51146-16-8	22.9166666666667	O=C(O)Cc1ccccc1		1
phenol, 2,4-dimethyl-	105-67-9	22.9166666666667	Cc1ccc(O)c(C)c1		1
benzene, 1,4-dimethyl-	106-42-3|136777-61-2	229.166666666667	Cc1ccc(C)cc1		1
benzene, 1,4-dichloro-	106-46-7|55232-43-4	708.333333333333	Clc1ccc(Cl)cc1		1
benzenamine, 4-chloro-	106-47-8	22.9166666666667	Nc1ccc(Cl)cc1		1
1,3-butadiene	106-99-0|130983-70-9|1983-06-8|25339-57-5|26952-74-9	70.8333333333333	C=CC=C		1
2-propenal	107-02-8|81788-96-7	7.08333333333333	C=CC=O		1
propanenitrile	107-12-0	70.8333333333333	CCC#N		1
2-propenenitrile	107-13-1|63908-52-1	22.9166666666667	C=CC#N		1
2-propen-1-ol	107-18-6	7.08333333333333	C=CCO		1
1,2-ethanediol	107-21-1	7.08333333333333	OCCO		1
methane, chloromethoxy-	107-30-2	70.8333333333333	COCCl		1
formic acid, methyl ester	107-31-3	22.9166666666667	COC=O		1
2-pentanone	107-87-9	22.9166666666667	CCCC(C)=O		1
butanoic acid	107-92-6	22.9166666666667	CCCC(=O)O		1
acetic acid ethenyl ester	108-05-4|93196-02-2	22.9166666666667	C=COC(C)=O		1
2-pentanone, 4-methyl-	108-10-1	22.9166666666667	CC(=O)CC(C)C		1
benzene, 1,3-dimethyl-	108-38-3	229.166666666667	Cc1cccc(C)c1		1
benzene, 1,3,5-trimethyl-	108-67-8|19121-63-2	229.166666666667	Cc1cc(C)cc(C)c1		1
benzene, 1,3,5-trichloro-	108-70-3|63697-19-8	708.333333333333	Clc1cc(Cl)cc(Cl)c1		1
benzene, bromo-	108-86-1|52753-63-6	708.333333333333	Brc1ccccc1		1
cyclohexane, methyl-	108-87-2	70.8333333333333	CC1CCCCC1		1
benzene, methyl-	108-88-3|25013-04-1	229.166666666667	Cc1ccccc1		1
pyridine, 4-methyl-	108-89-4|69046-49-7|92075-35-9	229.166666666667	Cc1ccncc1		1
benzene, chloro-	108-90-7|50717-45-8	708.333333333333	Clc1ccccc1		1
cyclohexanamine	108-91-8|157973-60-9	7.08333333333333	NC1CCCCC1		1
cyclohexanol	108-93-0	7.08333333333333	OC1CCCCC1		1
cyclohexanone	108-94-1|9075-99-4	22.9166666666667	O=C1CCCCC1		1
phenol	108-95-2|17442-59-0|27073-41-2|63496-48-0|73607-76-8	22.9166666666667	Oc1ccccc1		1
pyridine, 3-methyl-	108-99-6	229.166666666667	Cc1cccnc1		1
acetic acid, propyl ester	109-60-4	22.9166666666667	CCCOC(C)=O		1
pentane	102056-77-9|107949-95-1|109-66-0	229.166666666667	CCCCC		1
1-pentene	109-67-1|25587-78-4	70.8333333333333	C=CCCC		1
1-butanamine	109-73-9	7.08333333333333	CCCCN		1
formic acid, ethyl ester	109-94-4	22.9166666666667	CCOC=O		1
furan, tetrahydro-	109-99-9|24979-97-3	70.8333333333333	C1CCOC1		1
furan	110-00-9|25067-54-3	70.8333333333333	c1ccoc1		1
thiophene	107760-19-0|110-02-1|25233-34-5|51325-05-4	229.166666666667	c1ccsc1		1
2-heptanone	110-43-0	22.9166666666667	CCCCCC(C)=O		1
hexane	110-54-3|478799-92-7|50981-41-4|92112-69-1	229.166666666667	CCCCCC		1
ethene, (2-chloroethoxy)-	110-75-8|29160-08-5	70.8333333333333	C=COCCCl		1
cyclohexane	110-82-7|12217-02-6	70.8333333333333	C1CCCCC1		1
cyclohexene	110-83-8|25012-94-6	70.8333333333333	C1=CCCCC1		1
pyridine	110-86-1|29761-81-7	229.166666666667	c1ccncc1		1
1-hexanol	111-27-3|25917-35-5	7.08333333333333	CCCCCCO		1
ethanol, 2,2'-iminobis-	111-42-2	22.9166666666667	OCCNCCO		1
propane, 1,1'-oxybis-	111-43-3	70.8333333333333	CCCOCCC		1
ethane, 1,1'-oxybis 2-chloro-		70.8333333333333	ClCCOCCCl	1,1'-oxybis(2-chloroethane)	1
octane	111-65-9|31372-91-5|9065-92-3	229.166666666667	CCCCCCCC		1
1-octene	111-66-0|26746-84-9	70.8333333333333	C=CCCCCCC		1
1-octanol	111-87-5|220713-26-8|29063-28-3	7.08333333333333	CCCCCCCCO		1
dodecane	112-40-3|93685-81-5	229.166666666667	CCCCCCCCCCCC		1
propoxur	114-26-1	70.8333333333333	CN=C(O)Oc1ccccc1OC(C)C		1
methane, oxybis-	115-10-6|157621-61-9	70.8333333333333	COC		1
aldicarb	116-06-3	708.333333333333	CN=C(O)ON=CC(C)(C)SC		1
HCB	118-74-1	2291.66666666667	Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl		1
benzoic acid, 2-methyl-	118-90-1|25567-10-6|442197-98-0	22.9166666666667	Cc1ccccc1C(=O)O		1
benzoic acid, 2-chloro-	118-91-2|26264-09-5	229.166666666667	O=C(O)c1ccccc1Cl		1
methanone, diphenyl-	119-61-9	22.9166666666667	O=C(c1ccccc1)c1ccccc1		1
anthracene	120-12-7|54261-80-2	708.333333333333	c1ccc2cc3ccccc3cc2c1		1
1,2-benzenediol	120-80-9|12385-08-9|26982-53-6	22.9166666666667	Oc1ccccc1O		1
benzene, 1,2,4-trichloro-	104810-41-5|120-82-1|63697-18-7	708.333333333333	Clc1ccc(Cl)c(Cl)c1		1
phenol, 2,4-dichloro-	120-83-2|3317-66-6	70.8333333333333	Oc1ccc(Cl)cc1Cl		1
