smiles,split,y_log10,y_lower,y_upper
Cn1sc(Cl)cc1=O,train,0.6989700043360189,0.671,1.176
CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,train,1.8502376796666677,2.164,2.661
c1ccncc1,train,2.8502376796666677,2.164,2.661
Oc1ccc(Br)cc1Br,train,0.6989700043360189,0.671,1.176
c1ccccc1,train,1.3601514477826384,1.661,2.164
c1ccc(N=Nc2ccccc2)cc1,train,0.007175736785117942,-0.339,0.176
c1ccc(Nc2ccccc2)cc1,train,1.3601514477826384,1.661,2.164
O=C(O)CCCOc1ccc(Cl)cc1Cl,train,2.3601514477826386,1.176,1.661
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,train,1.8502376796666677,3.176,inf
COC(C)(C)C,train,3.3601514477826386,1.661,2.164
C=CC(=O)O,train,1.3601514477826384,1.176,1.661
COc1cc(OC)nc(N=C(O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1,train,0.17609125905568124,2.164,2.661
Oc1ccccc1,train,0.8502376796666677,1.176,1.661
CC(Cl)CCl,train,2.3601514477826386,2.661,3.176
CCCN(CCC)C(=O)SCC,train,1.8502376796666677,1.661,2.164
CC=O,train,1.8502376796666677,0.671,1.176
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,train,3.3601514477826386,3.176,inf
Cc1cccc(C)n1,train,0.7781512503836436,0.671,1.176
O=C(O)c1ccc(Cl)cc1,train,1.3010299956639813,2.164,2.661
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,train,1.8502376796666677,2.164,2.661
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,train,2.1760912590556813,2.164,2.661
ClCCCl,train,1.421603926869831,2.661,3.176
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,train,0.38021124171160603,0.176,0.671
c1ccc2ccccc2c1,train,1.3601514477826384,2.164,2.661
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,train,2.942008053022313,3.176,inf
CNC,train,1.8502376796666677,1.176,1.661
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,train,1.8502376796666677,2.164,2.661
CCCCCOC(C)=O,train,2.3601514477826386,1.176,1.661
Fc1ccccc1,train,2.8502376796666677,1.661,2.164
Cc1cccnc1,train,1.3601514477826384,2.164,2.661
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,train,1.3601514477826384,2.164,2.661
C=CCCCCCC,train,1.3601514477826384,1.661,2.164
Brc1ccccc1,train,1.8502376796666677,2.661,3.176
NC1CCCCC1,train,1.8502376796666677,0.671,1.176
C=CCC(=O)O,train,2.3601514477826386,1.176,1.661
CN(C)c1ccccc1,train,0.8502376796666677,1.661,2.164
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl,train,2.8502376796666677,3.176,inf
CCCC(=O)O,train,1.3601514477826384,1.176,1.661
O=C(O)COc1ccc(Cl)cc1Cl,train,1.3601514477826384,1.661,2.164
c1ccc2c(c1)cc1ccc3cc4ccccc4c4ccc2c1c34,train,1.6989700043360187,2.661,3.176
CCCOC(C)=O,train,1.8502376796666677,1.176,1.661
Clc1ccc(Cl)cc1,train,2.8502376796666677,2.661,3.176
CCCCCCCCCC,train,1.8502376796666677,2.164,2.661
Nc1ccccc1,train,0.8502376796666677,1.661,2.164
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,train,2.5622928644564746,2.164,2.661
CSc1nc(=NC2CC2)nc(NC(C)(C)C)[nH]1,train,2.3010299956639813,2.164,2.661
CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,train,1.845098040014257,2.164,2.661
O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,train,3.3601514477826386,2.164,2.661
Cc1cc(C)cc(C)c1,train,1.3601514477826384,2.164,2.661
