smiles,split,y_log10,y_lower,y_upper
CCCCOC(=O)c1ccccc1C(=O)OCCCC,train,0.8502376796666677,0.671,1.176
Cc1ccccc1C(C)C,train,1.0,0.176,0.671
CCCCCCCCO,train,0.8502376796666677,0.176,0.671
CCc1cc(C)cc(C)c1,train,1.5250448070368452,0.176,0.671
COc1ccc(O)cc1,train,-0.14978275820161055,-0.339,0.176
C[C@H]1CC[C@H](C)C1,train,0.8680563618230416,0.671,1.176
CCCc1ccccc1,train,0.36015144778263847,1.176,1.661
CCN(CC)C(=O)SCc1ccc(Cl)cc1,train,0.8502376796666677,1.661,2.164
C1=CCCCC1,train,1.3601514477826384,0.671,1.176
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,train,0.8502376796666677,1.661,2.164
C=C1C(O)=N[C@H](C)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](C(=O)O)[C@H](C)C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@@H](C=CC(C)=C[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(O)=N[C@@H](C(=O)O)CCC(=O)N1C,train,0.5740312677277188,0.671,1.176
CCCCCCC(C)CCCC,train,2.0863598306747484,0.176,0.671
CC(C)CC1CCCCC1,train,1.2988530764097066,0.671,1.176
CCCCCCCCCCCCCC(=O)O,train,2.5490032620257876,-0.339,0.176
CCCCCCCCCCC1CCCCC1,train,1.6989700043360187,0.176,0.671
CCCCCC,train,0.8502376796666677,1.176,1.661
CC(=O)CC(C)C,train,1.3601514477826384,0.671,1.176
CCCCCCCCCCCC1CCCCC1,train,1.7774268223893113,0.176,0.671
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],train,1.5440680443502757,0.671,1.176
C1CCC2CCCCC2C1.C1CCC2CCCCC2C1,train,0.43136376415898736,1.661,2.164
CN=C(O)CSP(=S)(OC)OC,train,0.2304489213782739,2.164,2.661
CNN,train,-0.1804560644581313,0.671,1.176
ClC(Cl)(Cl)C(Cl)(Cl)Cl,train,0.8502376796666677,1.661,2.164
c1ccc2c(c1)-c1cccc3cccc-2c13,train,1.3601514477826384,1.661,2.164
CCC(C)CCC(C)CC,train,0.5910646070264992,0.176,0.671
COC(=O)c1ccc(C(=O)OC)cc1,train,1.0,1.661,2.164
Oc1ccc(Cl)cc1Cl,train,1.8502376796666677,0.176,0.671
C=COC(C)=O,train,1.3601514477826384,0.176,0.671
c1ccc2ncccc2c1,train,1.8502376796666677,0.671,1.176
Oc1cc(Cl)c(Cl)cc1Cl,train,0.8502376796666677,0.671,1.176
CC(Cl)(Cl)C(=O)O,train,1.3601514477826384,1.661,2.164
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl,train,1.8502376796666677,2.661,3.176
O=C(O)C=CC(=O)O,train,1.6901960800285136,1.661,2.164
CCCCCCCCCCCCCCCCCC(=O)O,train,2.3601514477826386,0.671,1.176
ClC=CCl,train,0.36015144778263847,1.176,1.661
CCCC(=O)O,train,1.3601514477826384,0.176,0.671
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,train,0.8502376796666677,3.176,inf
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,train,1.3601514477826384,2.661,3.176
CC(C)C,train,0.8976270912904415,1.176,1.661
Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,train,0.8129133566428556,1.661,2.164
CCc1ccccc1CC,train,1.1760912590556813,0.176,0.671
CCCC,train,0.8864907251724818,1.176,1.661
CCc1ccc(C)c(C)c1,train,0.6720978579357175,0.176,0.671
Clc1cccc(-c2ccccc2)c1,train,1.0043213737826426,2.164,2.661
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,train,1.0413926851582251,2.164,2.661
CON(C)C(O)=Nc1ccc(Cl)c(Cl)c1,train,0.8502376796666677,1.176,1.661
CCCCCCCCc1ccccc1,train,1.0413926851582251,0.671,1.176
CCCCc1ccc2cc(C)c(C)cc2c1,train,1.5976951859255124,0.176,0.671
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,train,1.8502376796666677,2.661,3.176
CCCCN,train,0.36015144778263847,0.176,0.671
CN=C(O)Oc1ccc(N(C)C)c(C)c1,train,0.6989700043360189,1.176,1.661
ClC(Cl)(Cl)Cl,train,1.8502376796666677,1.661,2.164
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,train,0.09691001300805642,1.176,1.661
Cc1ccc(-c2ccccc2)cc1,train,1.5211380837040362,0.176,0.671
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl,train,0.8750612633917001,3.176,inf
CCCCC(CC)C(C)C,train,0.505149978319906,1.176,1.661
Cc1cc(C)cc(C(C)C)c1,train,1.7323937598229686,0.176,0.671
Clc1ccc(Oc2ccccc2)cc1,train,0.9084850188786497,1.176,1.661
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,train,1.146128035678238,0.176,0.671
Clc1cccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,train,0.919078092376074,3.176,inf
c1ccc2c(c1)oc1ccccc12,train,0.8502376796666677,0.671,1.176
Cc1ccc2ccc3ccccc3c2c1,train,0.5185139398778874,0.176,0.671
c1ccc(C2CO2)cc1,train,1.3601514477826384,0.671,1.176
c1ccc2c(c1)ccc1ccccc12,train,1.8502376796666677,1.176,1.661
CCc1cccc(CC)c1N(COC)C(=O)CCl,train,1.2380461031287955,2.661,3.176
C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,train,1.1139433523068367,3.176,inf
CC1CCCC1,train,0.6334684555795865,1.176,1.661
CCOC(=O)c1ccc(O)cc1,train,1.8864907251724818,0.671,1.176
OC(Cc1ccccc1Cl)(Cn1[nH]cnc1=S)C1(Cl)CC1,train,1.1139433523068367,2.164,2.661
CCC(C)(C)C,train,0.505149978319906,1.176,1.661
CCc1ccc(C)cc1,train,0.2304489213782739,0.176,0.671
Cc1ccccc1C.Cc1ccccc1C,train,0.8195439355418687,0.176,0.671
CN(C)c1ccccc1,train,0.8502376796666677,0.671,1.176
C=CC=O,train,0.36015144778263847,0.176,0.671
CCCCCCCCCCCCCCCCCCC,train,0.7923916894982539,0.176,0.671
O=C1OC(=O)c2ccccc21,train,1.4313637641589874,1.4259339517356784,1.4367935765822963
CC(=O)O,train,0.8502376796666677,0.176,0.671
c1ccc(Oc2ccccc2)cc1,train,1.3601514477826384,1.176,1.661
CC1CCCC2C1CC1CCCCC12,train,1.3617278360175928,1.176,1.661
COc1cc(OC)nc(N=C(O)NS(=O)(=O)Nc2ccccc2C(=O)N(C)C)n1,train,-1.0,1.176,1.661
C=CC#N,train,1.3601514477826384,0.671,1.176
CCCCCC=CCC=CCCCCCCCC(=O)O,train,1.7481880270062005,-0.339,0.176
Ic1ccccc1,train,3.3601514477826386,1.661,2.164
c1ccc2c(c1)CCCC2.c1ccc2c(c1)CCCC2,train,0.2787536009528289,0.176,0.671
