Id	CAS	SMILES	Status	Experimental value  [log(days)]	Predicted value  [log(days)]
208	39227-54-8	O1c3ccccc3(Oc2cc(ccc12)Cl)	Test	2.3601515	2.36013
209	33284-50-3	c1ccc(cc1)c2ccc(cc2Cl)Cl	Training	2.8502376	2.85024
210	34883-39-1	c1ccc(cc1)c2cc(ccc2Cl)Cl	Training	2.8502376	2.85024
211	2050-68-2	c1cc(ccc1c2ccc(cc2)Cl)Cl	Training	2.8502376	2.85024
212	13029-08-8	c1ccc(c(c1)c2ccccc2Cl)Cl	Training	2.8502376	2.85024
213	2051-61-8	c1ccc(cc1)c2cccc(c2)Cl	Test	2.8502376	2.85013
214	2051-62-9	c1ccc(cc1)c2ccc(cc2)Cl	Training	2.8502376	2.85013
215	2051-60-7	c1ccc(cc1)c2ccccc2Cl	Training	2.8502376	2.85013
216	35822-46-9	O1c3cc(c(c(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl)Cl	Training	3.3601515	3.35648
217	40186-72-9	c2c(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c(c(c(c2Cl)Cl)Cl)Cl	Training	3.3601515	3.36015
218	2131-41-1	c1cc2c(c(c1)C)c(ccc2C)C	Test	1.8502377	1.68473
219	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	1.3601514	1.36018
220	75-01-4	C=CCl	Training	1.8502377	2.11301
221	693-02-7	C#CCCCC	Training	1.3601514	1.36345
222	108-60-1	O(C(C)CCl)C(C)CCl	Training	1.3601514	1.36019
223	N.A.	O1C(C)CNCC1C	Test	2.1731863	0.61659
224	100-52-7	O=Cc1ccccc1	Training	0.36015144	0.36791
225	75-09-2	C(Cl)Cl	Training	2.3601515	2.36014
226	67-66-3	C(Cl)(Cl)Cl	Training	2.3601515	2.11301
